# Stage 3 / Steady-State Conductivity Data Extracted from Flash Sintering Papers
# This data captures conductivity DURING flash (Stage III) - not just at onset
# 
# Source Papers:
# 1. Raj 2012 (Joule Heating) - 8YSZ steady-state under current control
# 2. Jha & Raj 2014 (TiO2) - Post-flash steady-state conductivity
# 3. Gaur & Sglavo 2014 (MnCo2O4) - Specimen temperatures during flash
#
Material,Family,DOI,T_furnace_K,T_specimen_K,E_onset_Vcm,E_stage3_Vcm,J_limit_mAmm2,sigma_onset_Sm,sigma_stage3_Sm,rho_stage3_Ohmcm,P_stage3_mWmm3,Ea_stage3_eV,Notes
# TiO2 - Jha & Raj 2014 Table I - Post-flash steady state under current control
# E_stage3 is the measured field AFTER switching to current control
# ============================================================================
TiO2,rutile,10.1111/jace.12682,1350,1394,50,47,12,,3.3,,56,0.59,Post-flash under 12 mA/mm2 current limit
TiO2,rutile,10.1111/jace.12682,1273,1333,75,45,12,,2.6,,54,0.59,Post-flash under 12 mA/mm2 current limit
TiO2,rutile,10.1111/jace.12682,1203,1288,100,59,12,,1.9,,71,0.59,Post-flash under 12 mA/mm2 current limit
TiO2,rutile,10.1111/jace.12682,1113,1241,150,60,12,,2.1,,72,0.59,Post-flash under 12 mA/mm2 current limit
TiO2,rutile,10.1111/jace.12682,1053,1257,250,87,12,,1.5,,104,0.59,Post-flash under 12 mA/mm2 current limit
TiO2,rutile,10.1111/jace.12682,973,1169,500,100,12,,1.2,,120,0.59,Post-flash under 12 mA/mm2 current limit
TiO2,rutile,10.1111/jace.12682,913,1190,1000,105,12,,1.1,,126,0.59,Post-flash under 12 mA/mm2 current limit
# ============================================================================
# GDC (Gd-doped CeO2) - Mishra et al. 2021 (J Am Ceram Soc) - Processing map for GDC
# J_limit = 200 mA/mm2, E_stage3 = 90 V/cm, T_specimen from BBR and pyrometer ~1400C
# Ea_grain = 0.66-0.68 eV from impedance spectroscopy (Table 1)
# sigma = J/E = 200/90 = 2.22 mA/(mm2·V/cm) = 22.2 S/m
# ============================================================================
GDC,fluorite,10.1111/jace.17847,953,1673,90,90,200,,22.2,,,0.67,Isothermal flash - T_s from BBR/pyrometer - σ from J/E

# ============================================================================
# MnCo2O4 - Gaur & Sglavo 2014 Table 1 - Direct pyrometer specimen temperature
# Conductivity calculated from steady-state I-V curves (Fig 6b) ~27.5 S/cm at 1000C
# Ea from Arrhenius fit of conductivity data (Fig 5): ~0.33 eV (small polaron hopping)
# J values given in A/mm2 = 1000 mA/mm2
# ============================================================================
MnCo2O4,spinel,10.1016/j.jeurceramsoc.2014.02.012,523,1198,7.5,,1250,,2200,,960,0.33,Table 1 - pyrometer T - σ from Fig 6b extrapolated
MnCo2O4,spinel,10.1016/j.jeurceramsoc.2014.02.012,483,1248,10.0,,1400,,2500,,1445,0.33,Table 1 - pyrometer T - σ from Fig 6b
MnCo2O4,spinel,10.1016/j.jeurceramsoc.2014.02.012,443,1323,12.5,,1400,,2750,,1800,0.33,Table 1 - pyrometer T
MnCo2O4,spinel,10.1016/j.jeurceramsoc.2014.02.012,418,1373,15.0,,1400,,2900,,2160,0.33,Table 1 - pyrometer T
MnCo2O4,spinel,10.1016/j.jeurceramsoc.2014.02.012,393,1433,17.5,,1400,,3100,,2475,0.33,Table 1 - pyrometer T
MnCo2O4,spinel,10.1016/j.jeurceramsoc.2014.02.012,393,1593,17.5,,1600,,3600,,2830,0.33,Table 1 - pyrometer T - high J
# ============================================================================
# 3YSZ - Francis & Raj 2013 (Isothermal) Table I - Steady state under current control
# T_specimen from blackbody radiation model, furnace at 900C, E_o=100 V/cm
# Gage length = 20 mm, so E_stage3 = V(t)/2 cm, sigma = J/E
# ============================================================================
3YSZ,fluorite,10.1111/jace.12472,1173,1223,100,31.0,20,,6.5,15.4,62,0.46,Table I - J_max=20 mA/mm2
3YSZ,fluorite,10.1111/jace.12472,1173,1348,100,32.5,40,,12.3,8.1,130,0.46,Table I - J_max=40 mA/mm2
3YSZ,fluorite,10.1111/jace.12472,1173,1373,100,34.0,60,,17.6,5.7,204,0.46,Table I - J_max=60 mA/mm2
3YSZ,fluorite,10.1111/jace.12472,1173,1623,100,36.0,80,,22.2,4.5,280,0.46,Table I - J_max=80 mA/mm2
3YSZ,fluorite,10.1111/jace.12472,1173,1753,100,44.0,100,,22.7,4.4,440,0.46,Table I - J_max=100 mA/mm2
3YSZ,fluorite,10.1111/jace.12472,1173,1873,100,46.0,120,,26.1,3.8,552,0.46,Table I - J_max=120 mA/mm2
# ============================================================================
# W - Bamidele et al. 2024 - Current rate flash sintering
# Sintering at ~1000C regardless of current rate
# ============================================================================
W,metal,10.1111/jace.19532,1073,1273,,,20000,,,,,Stage III - furnace ON 800C
W,metal,10.1111/jace.19532,298,1273,,,20000,,,,,Stage III - furnace OFF (no furnace)
# ============================================================================
# Ni - Bamidele et al. 2024 - Current rate flash sintering
# Sintering at ~1000C with ~20 A/mm2
# ============================================================================
Ni,metal,10.1111/jace.19735,298,1173,,,20000,,,,,Stage III - no furnace
# ============================================================================
# TCP (β-Tricalcium Phosphate) - Frasnelli & Sglavo 2018 (J Eur Ceram Soc)
# Resistivity parameters: ρ₀ = 0.0013 Ωm → σ₀ = 769 S/m
# Ea = 82 kJ/mol = 0.85 eV from Arrhenius fit
# T_specimen estimated from BBR model at Stage III: ~1500-1700K
# σ calculated from σ = σ₀ exp(-Ea/kT) at T_specimen
# ============================================================================
TCP,phosphate,10.1016/j.jeurceramsoc.2017.08.004,1243,1500,1000,,100,,1.05,,,0.85,Estimated from Arrhenius params - σ₀=769 S/m
TCP,phosphate,10.1016/j.jeurceramsoc.2017.08.004,1133,1400,1200,,100,,0.58,,,0.85,Estimated from Arrhenius params - σ₀=769 S/m
TCP,phosphate,10.1016/j.jeurceramsoc.2017.08.004,1033,1600,900,,100,,1.75,,,0.85,Estimated from Arrhenius params - σ₀=769 S/m
# ============================================================================
# CCTO (CaCu3Ti4O12) - Jesus et al. 2016 (J Alloys Compd)
# Internal Barrier Layer Capacitor (IBLC) structure
# Ea = 1.0-1.3 eV from grain-boundary limited conduction (use 1.15 eV avg)
# J = 75 mA/mm², T_pyro from Table 1
# σ estimated from J/E_onset (lower bound since E drops in Stage III)
# Note: Different mechanism (IBLC) - use with caution
# ============================================================================
CCTO,perovskite,10.1016/j.jallcom.2016.05.002,1268,1393,15,,75,,50.0,,,1.15,Table 1 T_pyro=1120C - J/E_onset estimate
CCTO,perovskite,10.1016/j.jallcom.2016.05.002,1248,1386,20,,75,,37.5,,,1.15,Table 1 T_pyro=1113C - J/E_onset estimate
CCTO,perovskite,10.1016/j.jallcom.2016.05.002,1191,1363,30,,75,,25.0,,,1.15,Table 1 T_pyro=1090C - J/E_onset estimate
CCTO,perovskite,10.1016/j.jallcom.2016.05.002,1133,1326,40,,75,,18.75,,,1.15,Table 1 T_pyro=1053C - J/E_onset estimate
CCTO,perovskite,10.1016/j.jallcom.2016.05.002,1073,1309,50,,75,,15.0,,,1.15,Table 1 T_pyro=1036C - J/E_onset estimate
CCTO,perovskite,10.1016/j.jallcom.2016.05.002,1023,1317,60,,75,,12.5,,,1.15,Table 1 T_pyro=1044C - J/E_onset estimate
