filename,doi,material,paper_category
WC 3 Sglavo.pdf,10.1007/s10853-022-08109-4,WC,THEORY
WC Grasso.pdf,10.3390/ma14247655,WC,REVIEW
WC Sglavo.pdf,10.1016/j.matdes.2021.110330,WC,REVIEW
WC ZrB2 Mazo.pdf,10.1016/j.ceramint.2024.05.018,WC ZrB2,REVIEW
WC paper 3 Sglavo.pdf,10.1016/j.jmrt.2023.02.213,WC paper,REVIEW
WC second paper Sglavo .pdf,10.1016/j.actamat.2023.119227,WC second,THEORY
ZnO Wang.pdf,10.1016/j.scriptamat.2018.11.009,ZnO,THEORY
ZnO Zno-Bi2O3 Luo.pdf,10.1016/j.actamat.2015.04.018,ZnO Zno-Bi2O3,THEORY
ZrN Cheng.pdf,10.1111/jace.19719,ZrN,CONDUCTIVITY_ONLY
ZrO2-CeO2 Valdez.pdf,10.1111/jace.18426,ZrO2-CeO2,REVIEW
alpha SiC Todd.pdf,10.1016/j.actamat.2022.118362,alpha SiC,REVIEW
c-ZrO2 Raj.pdf,10.1007/s10832-016-,c-ZrO2,CONDUCTIVITY_ONLY
c-ZrO2 Yoshida.pdf,10.1016/j.actamat.2022.117704,c-ZrO2,THEORY
