#,Material,Family,T(K),E(V/cm),J(mA/mm²),Type,Ea(eV),sigma_0(S/m),Notes,DOI,Paper
55,BaTiO3,perovskite,0,0,0,AT_ONSET,0,0,,10.1002/adem.202300142,
56,BaTiO3,perovskite,0,0,0,AT_ONSET,0,0,,10.1002/adem.202300142,
57,BaTiO3,perovskite,0,0,0,AT_ONSET,0,0,,10.1002/adem.202300142,
58,BiFeO3,,0,0,0,?,0,0,T context: ; the sample sinters at a furnace temperature of ~...,10.1111/jace.14990,
59,BiFeO3,,0,0,0,?,0,0,T context: ; the sample sinters at a furnace temperature of ~...,10.1111/jace.14990,
60,BiFeO3,,0,0,0,?,0,0,T context: ; the sample sinters at a furnace temperature of ~...,10.1111/jace.14990,
61,BiFeO3,,0,0,0,?,0,0,T context: ; the sample sinters at a furnace temperature of ~...,10.1111/jace.14990,
62,BiFeO3,,0,0,0,?,0,0,T context: T; ºC Shrinkange; %; 0 5 10 V cm–1 150 50 100 300 ...,10.1111/jace.14990,
63,BiFeO3,,0,0,0,?,0,0,T context: T; ºC Shrinkange; %; 0 5 10 V cm–1 150 50 100 300 ...,10.1111/jace.14990,
64,BiFeO3,,0,0,0,?,0,0,T context: T; ºC Shrinkange; %; 0 5 10 V cm–1 150 50 100 300 ...,10.1111/jace.14990,
65,BiFeO3,,0,0,0,?,0,0,T context: T; ºC Shrinkange; %; 0 5 10 V cm–1 150 50 100 300 ...,10.1111/jace.14990,
66,BiFeO3,,0,0,0,?,0,0,T context: Shrinkange; %; 0 5 10 V cm–1 150 50 100 300 860ºC ...,10.1111/jace.14990,
67,BiFeO3,,0,0,0,?,0,0,T context: Shrinkange; %; 0 5 10 V cm–1 150 50 100 300 860ºC ...,10.1111/jace.14990,
68,BiFeO3,,0,0,0,?,0,0,T context: Shrinkange; %; 0 5 10 V cm–1 150 50 100 300 860ºC ...,10.1111/jace.14990,
69,BiFeO3,,0,0,0,?,0,0,T context: Shrinkange; %; 0 5 10 V cm–1 150 50 100 300 860ºC ...,10.1111/jace.14990,
70,BiFeO3,,0,0,0,?,0,0,T context: ange; %; 0 5 10 V cm–1 150 50 100 300 860ºC 897ºC ...,10.1111/jace.14990,
71,BiFeO3,,0,0,0,?,0,0,T context: ange; %; 0 5 10 V cm–1 150 50 100 300 860ºC 897ºC ...,10.1111/jace.14990,
72,BiFeO3,,0,0,0,?,0,0,T context: ange; %; 0 5 10 V cm–1 150 50 100 300 860ºC 897ºC ...,10.1111/jace.14990,
73,BiFeO3,,0,0,0,?,0,0,T context: ange; %; 0 5 10 V cm–1 150 50 100 300 860ºC 897ºC ...,10.1111/jace.14990,
74,Co2MnO4,spinel,0,0,0,AT_ONSET,0,0,,10.1016/j.jpowsour.2010.10.036,
75,Co2MnO4,spinel,0,0,0,ARRHENIUS,0,0,,10.1016/j.jpowsour.2010.10.036,
76,Co2MnO4,spinel,0,0,0,ARRHENIUS,0,0,,10.1016/j.jpowsour.2010.10.036,
77,Co2MnO4,spinel,0,0,0,AT_ONSET,0,0,,10.1016/j.jpowsour.2010.10.036,
78,Co2MnO4,spinel,0,0,0,AT_ONSET,0,0,,10.1016/j.jpowsour.2010.10.036,
79,Co2MnO4,spinel,0,0,0,ARRHENIUS,0,0,,10.1016/j.jpowsour.2010.10.036,
80,Co2MnO4,spinel,0,0,0,ARRHENIUS,0,0,,10.1016/j.jpowsour.2010.10.036,
81,Co2MnO4,spinel,0,0,0,AT_ONSET,0,0,,10.1016/j.jpowsour.2010.10.036,
82,GDC10,fluorite,0,0,0,AT_ONSET,0,0,,10.1016/j.scriptamat.2019.05.030,
83,GDC10,fluorite,0,0,0,AT_ONSET,0,0,,10.1016/j.scriptamat.2019.05.030,
84,GDC10,fluorite,0,0,0,AT_ONSET,0,0,,10.1016/j.scriptamat.2019.05.030,
85,GDC10,fluorite,0,0,0,AT_ONSET,0,0,,10.1016/j.scriptamat.2019.05.030,
86,3YSZ,fluorite,0,0,0,AT_ONSET,0,0,,10.1016/j.scriptamat.2019.05.030,
87,3YSZ,fluorite,0,0,0,AT_ONSET,0,0,,10.1016/j.scriptamat.2019.05.030,
88,3YSZ,fluorite,0,0,0,AT_ONSET,0,0,,10.1016/j.scriptamat.2019.05.030,
89,3YSZ,fluorite,0,0,0,AT_ONSET,0,0,,10.1016/j.scriptamat.2019.05.030,
90,8YSZ,fluorite,0,0,0,AT_ONSET,0,0,,10.1016/j.scriptamat.2019.05.030,
91,8YSZ,fluorite,0,0,0,AT_ONSET,0,0,,10.1016/j.scriptamat.2019.05.030,
92,8YSZ,fluorite,0,0,0,AT_ONSET,0,0,,10.1016/j.scriptamat.2019.05.030,
93,8YSZ,fluorite,0,0,0,AT_ONSET,0,0,,10.1016/j.scriptamat.2019.05.030,
94,TiO2,rutile,0,0,0,AT_ONSET,0,0,,10.1016/j.scriptamat.2019.05.030,
95,TiO2,rutile,0,0,0,AT_ONSET,0,0,,10.1016/j.scriptamat.2019.05.030,
96,TiO2,rutile,0,0,0,AT_ONSET,0,0,,10.1016/j.scriptamat.2019.05.030,
97,TiO2,rutile,0,0,0,AT_ONSET,0,0,,10.1016/j.scriptamat.2019.05.030,
98,Doped-TiO2,rutile,0,0,0,AT_ONSET,0,0,,10.1007/s10854-024-12518-3,
99,Doped-TiO2,rutile,0,0,0,AT_ONSET,0,0,,10.1007/s10854-024-12518-3,
100,Doped-TiO2,rutile,0,0,0,AT_ONSET,0,0,,10.1007/s10854-024-12518-3,
101,Doped-TiO2,rutile,0,0,0,AT_ONSET,0,0,,10.1007/s10854-024-12518-3,
102,Doped-TiO2,rutile,0,0,0,AT_ONSET,0,0,,10.1007/s10854-024-12518-3,
103,Doped-TiO2,rutile,0,0,0,AT_ONSET,0,0,,10.1007/s10854-024-12518-3,
104,Doped-TiO2,rutile,0,0,0,AT_ONSET,0,0,,10.1007/s10854-024-12518-3,
105,Doped-TiO2,rutile,0,0,0,AT_ONSET,0,0,,10.1007/s10854-024-12518-3,
106,Doped-ZnO,wurtzite,0,0,0,AT_ONSET,0,0,,10.1016/j.actamat.2019.10.009,
107,Doped-ZnO,wurtzite,0,0,0,AT_ONSET,0,0,,10.1016/j.actamat.2019.10.009,
108,Doped-ZnO,wurtzite,0,0,0,AT_ONSET,0,0,,10.1016/j.actamat.2019.10.009,
109,Doped-ZnO,wurtzite,0,0,0,AT_ONSET,0,0,,10.1016/j.actamat.2019.10.009,
110,Doped-ZnO,wurtzite,0,0,0,STEADY_STATE,0,0,,10.1016/j.actamat.2019.10.009,
111,Doped-ZnO,wurtzite,0,0,0,AT_ONSET,0,0,,10.1016/j.actamat.2019.10.009,
112,Doped-ZnO,wurtzite,0,0,0,AT_ONSET,0,0,,10.1016/j.actamat.2019.10.009,
113,Doped-ZnO,wurtzite,0,0,0,STEADY_STATE,0,0,,10.1016/j.actamat.2019.10.009,
114,Doped-ZnO,wurtzite,0,0,0,ARRHENIUS,0,0,,10.1016/j.actamat.2019.10.009,
115,GDC,fluorite,0,0,0,AT_ONSET,0,0,,10.1111/jace.17847,
116,GDC,fluorite,0,0,0,AT_ONSET,0,0,,10.1111/jace.17847,
117,GDC,fluorite,0,0,0,PRE_FLASH,0,0,,10.1111/jace.17847,
118,GDC,fluorite,0,0,0,AT_ONSET,0,0,,10.1111/jace.17847,
119,GDC,fluorite,0,0,0,AT_ONSET,0,0,,10.1111/jace.17847,
120,GDC,fluorite,0,0,0,AT_ONSET,0,0,,10.1111/jace.17847,
121,GDC,fluorite,0,0,0,AT_ONSET,0,0,,10.1111/jace.17847,
122,GDC,fluorite,0,0,0,AT_ONSET,0,0,,10.1111/jace.17847,
123,GDC,fluorite,0,0,0,POST_FLASH,0,0,,10.1111/jace.17847,
124,GDC,fluorite,0,0,0,AT_ONSET,0,0,,10.1111/jace.17847,
125,GDC,fluorite,0,0,0,PRE_FLASH,0,0,,10.1111/jace.17847,
126,GDC,fluorite,0,0,0,POST_FLASH,0,0,,10.1111/jace.17847,
127,GDC,fluorite,0,0,0,PRE_FLASH,0,0,,10.1111/jace.17847,
128,Gd:Sm-Pr-CeO2,fluorite,0,0,0,AT_ONSET,0,0,,10.3390/ma12081218,
129,Gd:Sm-Pr-CeO2,fluorite,0,0,0,AT_ONSET,0,0,,10.3390/ma12081218,
130,Gd:Sm-Pr-CeO2,fluorite,0,0,0,AT_ONSET,0,0,,10.3390/ma12081218,
131,Porous-SiO2,glass,0,0,0,AT_ONSET,0,0,,10.1016/j.jnoncrysol.2017.09.024,
132,Porous-SiO2,glass,0,0,0,AT_ONSET,0,0,,10.1016/j.jnoncrysol.2017.09.024,
133,Porous-SiO2,glass,0,0,0,AT_ONSET,0,0,,10.1016/j.jnoncrysol.2017.09.024,
134,Porous-SiO2,glass,0,0,0,AT_ONSET,0,0,,10.1016/j.jnoncrysol.2017.09.024,
135,Porous-SiO2,glass,0,0,0,AT_ONSET,0,0,,10.1016/j.jnoncrysol.2017.09.024,
136,Porous-SiO2,glass,0,0,0,AT_ONSET,0,0,,10.1016/j.jnoncrysol.2017.09.024,
137,(La0.2Nd0.2Sm0.2Eu0.2Gd0.2)2Zr2O7,pyrochlore,0,0,0,AT_ONSET,0,0,,10.1111/jace.19505,
138,(La0.2Nd0.2Sm0.2Eu0.2Gd0.2)2Zr2O7,pyrochlore,0,0,0,AT_ONSET,0,0,,10.1111/jace.19505,
139,(La0.2Nd0.2Sm0.2Eu0.2Gd0.2)2Zr2O7,pyrochlore,0,0,0,AT_ONSET,0,0,,10.1111/jace.19505,
140,(La0.2Nd0.2Sm0.2Eu0.2Gd0.2)2Zr2O7,pyrochlore,0,0,0,PRE_FLASH,0,0,,10.1111/jace.19505,
141,Irradiated-YSZ,fluorite,0,0,0,AT_ONSET,0,0,,10.1016/j.scriptamat.2019.06.004,
142,Irradiated-YSZ,fluorite,0,0,0,AT_ONSET,0,0,,10.1016/j.scriptamat.2019.06.004,
143,KNN,perovskite,0,0,0,AT_ONSET,0,0,,10.1111/jace.18119,
144,KNN,perovskite,0,0,0,AT_ONSET,0,0,,10.1111/jace.18119,
145,KNN,perovskite,0,0,0,AT_ONSET,0,0,,10.1111/jace.18119,
146,KNN,perovskite,0,0,0,AT_ONSET,0,0,,10.1111/jace.18119,
147,KNN,perovskite,0,0,0,AT_ONSET,0,0,,10.2109/jcersj2.124.P4-1,
148,KNN,perovskite,0,0,0,AT_ONSET,0,0,,10.2109/jcersj2.124.P4-1,
149,KNN,perovskite,0,0,0,AT_ONSET,0,0,,10.2109/jcersj2.124.P4-1,
150,KNN,perovskite,0,0,0,AT_ONSET,0,0,,10.2109/jcersj2.124.P4-1,
151,KNN,perovskite,0,0,0,ARRHENIUS,0,0,,10.2109/jcersj2.124.P4-1,
152,KNN,perovskite,0,0,0,AT_ONSET,0,0,,10.2109/jcersj2.124.P4-1,
153,KNN,perovskite,0,0,0,AT_ONSET,0,0,,10.2109/jcersj2.124.P4-1,
154,KNN,perovskite,0,0,0,AT_ONSET,0,0,,10.2109/jcersj2.124.P4-1,
155,KNN,perovskite,0,0,0,AT_ONSET,0,0,,10.2109/jcersj2.124.P4-1,
156,KNN,perovskite,0,0,0,AT_ONSET,0,0,,10.2109/jcersj2.124.P4-1,
157,KNN,perovskite,0,0,0,AT_ONSET,0,0,,10.2109/jcersj2.124.P4-1,
158,KNN,perovskite,0,0,0,AT_ONSET,0,0,,10.2109/jcersj2.124.P4-1,
159,KNN,perovskite,0,0,0,AT_ONSET,0,0,,10.2109/jcersj2.124.P4-1,
160,KNN,perovskite,0,0,0,AT_ONSET,0,0,,10.2109/jcersj2.124.P4-1,
161,KNN,perovskite,0,0,0,STEADY_STATE,0,0,,10.2109/jcersj2.124.P4-1,
162,KNN,perovskite,0,0,0,AT_ONSET,0,0,,10.2109/jcersj2.124.P4-1,
163,KNN,perovskite,0,0,0,AT_ONSET,0,0,,10.2109/jcersj2.124.P4-1,
164,KNN,perovskite,0,0,0,AT_ONSET,0,0,,10.2109/jcersj2.124.P4-1,
165,KNN,perovskite,0,0,0,AT_ONSET,0,0,,10.2109/jcersj2.124.P4-1,
166,KNN,perovskite,0,0,0,AT_ONSET,0,0,,10.2109/jcersj2.124.P4-1,
167,KNN,perovskite,0,0,0,AT_ONSET,0,0,,10.2109/jcersj2.124.P4-1,
168,KNN,perovskite,0,0,0,AT_ONSET,0,0,,10.2109/jcersj2.124.P4-1,
169,LLZO,garnet,0,0,0,AT_ONSET,0,0,,10.1007/s11581-024-06046-7,
170,LLZO,garnet,0,0,0,AT_ONSET,0,0,,10.1007/s11581-024-06046-7,
171,LLZO,garnet,0,0,0,AT_ONSET,0,0,,10.1007/s11581-024-06046-7,
172,LLZO,garnet,0,0,0,AT_ONSET,0,0,,10.1007/s11581-024-06046-7,
173,LLZO,garnet,0,0,0,AT_ONSET,0,0,,10.1007/s11581-024-06046-7,
174,LLZO,garnet,0,0,0,POST_FLASH,0,0,,10.1007/s11581-024-06046-7,
175,LLZO-RFS,garnet,0,0,0,AT_ONSET,0,0,,10.1111/jace.16625,
176,LLZO-RFS,garnet,0,0,0,AT_ONSET,0,0,,10.1111/jace.16625,
177,LLZO-RFS,garnet,0,0,0,AT_ONSET,0,0,,10.1111/jace.16625,
178,LTO,spinel,0,0,0,AT_ONSET,0,0,,10.1111/jace.18086,
179,MgAl2O4,spinel,0,0,0,AT_ONSET,0,0,,10.1111/jace.15974,
180,MgAl2O4,spinel,0,0,0,AT_ONSET,0,0,,10.1111/jace.15974,
181,MgAl2O4,spinel,0,0,0,AT_ONSET,0,0,,10.1111/jace.15974,
182,MgAl2O4,spinel,0,0,0,AT_ONSET,0,0,,10.1111/jace.15974,
183,MgAl2O4,spinel,0,0,0,AT_ONSET,0,0,,10.1111/jace.15974,
184,MgAl2O4,spinel,0,0,0,AT_ONSET,0,0,,10.1111/jace.15974,
185,MgAl2O4,spinel,0,0,0,AT_ONSET,0,0,,10.1111/jace.15974,
186,MgAl2O4,spinel,0,0,0,AT_ONSET,0,0,,10.1111/jace.15974,
187,MgAl2O4,spinel,0,0,0,AT_ONSET,0,0,,10.1111/jace.15974,
188,MgAl2O4,spinel,0,0,0,AT_ONSET,0,0,,10.1111/jace.15974,
189,MgAl2O4,spinel,0,0,0,AT_ONSET,0,0,,10.1111/jace.15974,
190,MgAl2O4,spinel,0,0,0,AT_ONSET,0,0,,10.1111/jace.15974,
191,MgAl2O4,spinel,0,0,0,AT_ONSET,0,0,,10.1111/jace.15974,
192,MgAl2O4,spinel,0,0,0,PRE_FLASH,0,0,,10.1111/jace.15974,
193,MgAl2O4,spinel,0,0,0,AT_ONSET,0,0,,10.1111/jace.15974,
194,MgAl2O4,spinel,0,0,0,AT_ONSET,0,0,,10.1111/jace.15974,
195,MgAl2O4,spinel,0,0,0,AT_ONSET,0,0,,10.1111/jace.15974,
196,MgAl2O4,spinel,0,0,0,AT_ONSET,0,0,,10.1111/jace.15974,
197,MgAl2O4,spinel,0,0,0,AT_ONSET,0,0,,10.1111/jace.15974,
198,MgAl2O4,spinel,0,0,0,AT_ONSET,0,0,,10.1111/jace.15974,
199,MgAl2O4,spinel,0,0,0,PRE_FLASH,0,0,,10.1111/jace.15974,
200,MgAl2O4,spinel,0,0,0,AT_ONSET,0,0,,10.1111/jace.15974,
201,MgAl2O4,spinel,0,0,0,AT_ONSET,0,0,,10.1111/jace.15974,
202,MgAl2O4,spinel,0,0,0,AT_ONSET,0,0,,10.1111/jace.15974,
203,MgAl2O4,spinel,1678,300,0,AT_ONSET,0.5,1000,High T regime,10.1016/j.jeurceramsoc.2019.03.005,
204,MgAl2O4,spinel,1683,750,0,AT_ONSET,0.5,1000,High T regime,10.1016/j.jeurceramsoc.2019.03.005,
205,MgAl2O4,spinel,1683,1000,0,AT_ONSET,0.5,1000,High T regime,10.1016/j.jeurceramsoc.2019.03.005,
206,MgAl2O4,spinel,1773,750,0,AT_ONSET,0.5,1000,High T regime,10.1016/j.jeurceramsoc.2019.03.005,
207,MgAl2O4,spinel,1773,1000,0,AT_ONSET,0.5,1000,High T regime,10.1016/j.jeurceramsoc.2019.03.005,
208,MgAl2O4,spinel,1923,750,0,AT_ONSET,0.5,1000,High T regime,10.1016/j.jeurceramsoc.2019.03.005,
209,MgAl2O4,spinel,1923,1000,0,AT_ONSET,0.5,1000,High T regime,10.1016/j.jeurceramsoc.2019.03.005,
210,MgAl2O4,spinel,1940,300,0,AT_ONSET,0.5,1000,High T regime,10.1016/j.jeurceramsoc.2019.03.005,
211,MnCo2O4,spinel,373,18,0,AT_ONSET,0.2,100000,Near T_min boundary,10.1016/j.jeurceramsoc.2014.02.012,
