filename,doi,year,first_author,title,paper_category,technique_used,has_onset_data,has_conductivity,has_thermodynamics,materials_list,num_conditions,is_applicable,screening_notes
Dopers ZnO Luo.pdf,10.1016/j.actamat.2019.10.009,2019,,Acta Materialia 181 (2019) 544–554 Contents lists available at ScienceDirect journal homepage: www.elsevier.com/locate/actamat,REVIEW,REVIEW,TRUE,TRUE,FALSE,Dopers ZnO,3,FALSE,"Found temps: [600, 628, 680, 689, 740, 742, 1005]"
Fe2Val Nishino.pdf,10.1007/s11664-019-07743-0,,,"JournalofELECTRONICMATERIALS,Vol.49,No.1,2020 (cid:2)2019TheMinerals,Metals&MaterialsSociety Near-Net-Shape Fabrication of Thermoelectric Legs by Flas",CONDUCTIVITY_ONLY,DC_FLASH,FALSE,TRUE,FALSE,Fe2Val,0,FALSE,
GDC Bran.pdf,10.1111/jace.17847,,,"Development of a processing map for safe flash sintering of gadolinium- doped ceria Tarini Prasad Mishra 1,2 | Christian Lenser 1 | Rishi Raj 2 | Oliv",THEORY,SIMULATION,TRUE,TRUE,FALSE,GDC,1,FALSE,Found temps: [1400]
Gd:Sm-Pr Co-Doped Ceria Sglavo.pdf,10.3390/ma12081218,,,"Gd Sm-Pr Co-Doped Ceria: A First Report of the Precipitation Method E ect on Flash Sintering LucaSpiridigliozzi1 ,LorenzoPinter2,MattiaBiesuz2 ,Gianfr",REVIEW,REVIEW,TRUE,TRUE,FALSE,Gd:Sm-Pr Co-Doped,0,FALSE,
Glass Flash Sintering Sglavo.pdf,10.1016/j.jnoncrysol.2017.09.024,2017,,Journal of Non-Crystalline Solids 476 (2017) 60–66 ContentslistsavailableatScienceDirect Journal of Non-Crystalline Solids,REVIEW,REVIEW,TRUE,TRUE,FALSE,Glass Flash,2,FALSE,"Found temps: [600, 690]"
High entropy pyrochlore Raj.pdf,10.1111/jace.19505,,,"Two-step reactive flash sintering of high entropy pyrochlore: Densification, grain growth, and microstructural",REVIEW,REVIEW,TRUE,FALSE,FALSE,High entropy,0,FALSE,Found temps: [1050]
Incubation Kinetics Garcia.pdf,10.1038/s41524-020-00359-7,,,"www.nature.com/npjcompumats Flash sintering incubation kinetics K.S.N.Vikrant1,Han Wang1,Aniruddha Jana 1, Haiyan Wang1,2 and R.EdwinGarcía 1",REVIEW,REVIEW,TRUE,TRUE,FALSE,Incubation Kinetics,0,FALSE,
Irradiated YSZ Muccillo.pdf,10.1016/j.scriptamat.2019.06.004,2019,,ScriptaMaterialia170(2019)120–123 ContentslistsavailableatScienceDirect journal homepage: www.elsevier.com/locate/scriptamat,ONSET_ONLY,DC_FLASH,TRUE,FALSE,FALSE,Irradiated YSZ,1,TRUE,Found temps: [850]
K0.5Na0.5NbO3 Akdogan.pdf,10.1111/jace.18119,,,Flash sintering and dielectric properties of K Na NbO İlyasŞavklıyıldız1 ÇiğdemOkur1 E.KorayAkdoğan2 1DepartmentofMetallurgicaland,REVIEW,REVIEW,TRUE,FALSE,FALSE,K0.5Na0.5NbO3,1,FALSE,Found temps: [1175]
K0.5Na0.5NbO3 Raj.pdf,10.2109/jcersj2.124.P4-1,,,JournaloftheCeramicSocietyofJapan124[4]321-3282016 Microstructure and microchemistry of flash sintered,THEORY,SIMULATION,TRUE,FALSE,FALSE,K0.5Na0.5NbO3,4,FALSE,"Found temps: [320, 870, 900, 1000]"
KNN 2 Senos.pdf,10.3390/ma14051321,,,Particle Characteristics’ Influence on FLASH Sintering of Potassium Sodium Niobate: A Relationship with Conduction,REVIEW,REVIEW,TRUE,TRUE,FALSE,KNN,0,FALSE,
KNN Senos.pdf,10.1039/c9tc03117k,,,Materials Chemistry C Mechanism of densification in low-temperature FLASH sintered lead free potassium sodium,REVIEW,REVIEW,TRUE,FALSE,FALSE,KNN,0,FALSE,
LLZO Huang.pdf,10.1007/s11581-024-06046-7,,,Ionics (2025) 31:1341–1350 Low‑temperature flash sintering of dense Ta‑doped Li La Zr O solid electrolyte for solid‑state lithium batteries,FULL_DATA,SPS,TRUE,TRUE,FALSE,LLZO,1,TRUE,Found temps: [700]
LLZO RFS Raj.pdf,10.1111/jace.16625,,,Reactive flash sintering of powders of four constituents into a single phase of a complex oxide in a few seconds below 700°C,FULL_DATA,SPS,TRUE,TRUE,FALSE,LLZO RFS,1,TRUE,Found temps: [682]
LLZO Raj.pdf,10.1016/j.scriptamat.2019.06.038,2019,,ScriptaMaterialia172(2019)1–5 ContentslistsavailableatScienceDirect journal homepage: www.elsevier.com/locate/scriptamat,THEORY,SIMULATION,TRUE,TRUE,FALSE,LLZO,1,FALSE,Found temps: [850]
La0.6Sr0.4CoO3 Kim.pdf,10.1021/acs.energyfuels.0c03147,,,pubs.acs.org/EF Article Optimizing the Surface Characteristics of La Sr CoO Perovskite Oxide by Rapid Flash Sintering Technology for Easy Fabrication ,REVIEW,REVIEW,FALSE,FALSE,FALSE,La0.6Sr0.4CoO3,0,FALSE,
Li4Ti5O12 Xu.pdf,10.1111/jace.18086,,,Rapid synthesis of Li Ti O as lithium-i on battery anode by reactive flash sintering Fangming Liu | Bin Bai | Liang Cheng | Chen Xu,REVIEW,REVIEW,FALSE,FALSE,FALSE,Li4Ti5O12,0,FALSE,
MgAl2O4 RFS Raj.pdf,10.1111/jace.15974,,,Reactive flash sintering: MgO and Al O transform and sinter into single phase polycrystals of MgAl O Bola Yoon1 | Devinder Yadav1 | Sanjit Ghose2 | Ri,REVIEW,REVIEW,TRUE,TRUE,FALSE,MgAl2O4 RFS,4,FALSE,"Found temps: [621, 820, 950, 1000]"
MgAl2O4 Yoshida.pdf,10.1111/jace.14616,,,"Flash-sintering of magnesium aluminate spinel (MgAl O ) Hidehiro Yoshida1,a | Papiya Biswas2,a | Roy Johnson2 | Mantravadi Krishna Mohan3",REVIEW,REVIEW,TRUE,TRUE,FALSE,MgAl2O4,3,FALSE,"Found temps: [400, 1300, 1350, 1408, 1410]"
MgCoNiCuZnLiO Jia.pdf,10.3390/ma15113836,,,"Reactive Flash Sintering of High-Entropy Oxide (Mg, Co, Ni, Cu, Zn) Li O at Room Temperature NianpingYan1,YuchenZhu2,MuliangCai1,BojiangLi1,BichuanXu1",REVIEW,REVIEW,TRUE,TRUE,FALSE,MgCoNiCuZnLiO,0,FALSE,
MgO-SiO2 -Al2 O3 Sglavo.pdf,10.1016/j.jeurceramsoc.2016.08.036,2016,,Journal of the European Ceramic Society 37 (2017) 705–713 Contents lists available at www.sciencedirect.com,REVIEW,REVIEW,TRUE,TRUE,FALSE,MgO-SiO2 -Al2,0,FALSE,
MnCo2O4 Sglavo.pdf,10.1016/j.jeurceramsoc.2014.02.012,2014,,Available online at www.sciencedirect.com Journal of the European Ceramic Society 34 (2014) 2391–2400,REVIEW,REVIEW,TRUE,TRUE,FALSE,MnCo2O4,2,FALSE,"Found temps: [200, 210, 1000, 1050, 1160]"
NaNbO3.pdf,10.1016/j.matlet.2018.09.167,2018,,MaterialsLetters235(2019)15–18 ContentslistsavailableatScienceDirect journal homepage: www.elsevier.com/locate/mlblue,CONDUCTIVITY_ONLY,SPS,TRUE,TRUE,FALSE,NaNbO3,0,FALSE,
Nb1:3Ta1:3Ti1:3N Cheng.pdf,10.1111/jace.17226,,,Multicomponent bulk metal nitride (Nb Ta Ti )N synthesis via reaction flash sintering and characterizations,THEORY,SIMULATION,TRUE,TRUE,FALSE,Nb1:3Ta1:3Ti1:3N,0,FALSE,
Ni Badimele Raj.pdf,10.1111/jace.19735,,,"Current rate flash sintering of nickel at ambient EmmanuelA.Bamidele1 MorsiM.Mahmoud3,4 RishiRaj1,2 1MaterialsScienceandEngineering",REVIEW,REVIEW,FALSE,TRUE,FALSE,Ni,0,FALSE,
Ni supplementary.pdf,10.1016/j.actamat.2020.02.036,2020,,"Supplementary Material Current rate flash sintering of nickel at ambient temperature in < 1 minute Emmanuel A. Bamidele, Morsi M. Mahmoud , and Rishi ",INSUFFICIENT,DC_FLASH,FALSE,FALSE,FALSE,Ni supplementary,0,FALSE,
Perovskite Wang.pdf,10.1016/j.actamat.2018.12.007,2018,,ActaMaterialia165(2019)398e408 ContentslistsavailableatScienceDirect journal homepage: www.elsevier.com/locate/actamat,REVIEW,REVIEW,TRUE,TRUE,FALSE,Perovskite,0,FALSE,
Phase syncrhonicity Raj .pdf,10.1111/JACE.16335,,,MS BOLA YOON (Orcid ID : 0000-0002-6087-5373) PROFESSOR PANKAJ SARIN (Orcid ID : 0000-0001-9110-7660),REVIEW,REVIEW,FALSE,FALSE,FALSE,Phase syncrhonicity,0,FALSE,
Porcelain Sglavo.pdf,10.1111/jace.15162,,,"Porcelain stoneware consolidation by flash sintering Mattia Biesuz1 | Woinshet D. Abate1 | Vincenzo M. Sglavo1,2",REVIEW,REVIEW,TRUE,FALSE,FALSE,Porcelain,3,FALSE,"Found temps: [500, 1000, 1190]"
Power Density at the Onset of Flash Sintering Raj.pdf,10.1111/jace.14178,,,"J.Am.Ceram.Soc.,99[10]3226–3232(2016) ournal ©2016TheAmericanCeramicSociety Analysis of the Power Density at the Onset of Flash Sintering",REVIEW,REVIEW,TRUE,TRUE,FALSE,Power Density,4,FALSE,"Found temps: [300, 725, 950, 1300]"
RFS Jalali_Bilayer.pdf,10.1111/jace.18804,,,Reactive flash sintering in a bilayer of zirconia and lanthana: Measurement of the diffusion coefficient in real,REVIEW,REVIEW,TRUE,TRUE,FALSE,RFS Jalali_Bilayer,0,FALSE,
Rhenium Raj 2.pdf,10.1007/s11661-024-07461-1,,,"ORIGINAL RESEARCH ARTICLE Flash Sintering of Rhenium in About 1 Minute with Electrical Current EMMANUEL A. BAMIDELE, ALAN W. WEIMER, and RISHI RAJ",REVIEW,REVIEW,FALSE,TRUE,FALSE,Rhenium,0,FALSE,
Rhenium Raj.pdf,,,,"Flash sintering of rhenium at ambient temperature in < 1 minute with electrical Emmanuel A. Bamidelea, Alan Weimerc , and Rishi Raja,b e",REVIEW,REVIEW,FALSE,FALSE,FALSE,Rhenium,0,FALSE,
STRO Tsur.pdf,10.1016/j.jeurceramsoc.2016.07.037,2016,,Journal of the European Ceramic Society 37 (2017) 179–188 Contents lists available at www.sciencedirect.com,THEORY,SIMULATION,TRUE,TRUE,FALSE,STRO,0,FALSE,
Sb2Te3 Nishino.pdf,10.1063/1.5041970,,,RESEARCH ARTICLE | SEPTEMBER 11 2018 Flash-sintering of antimony telluride and its thermoelectric Masashi Mikami ; Yoshiaki Kinemuchi; Kazuya Kubo; Na,REVIEW,REVIEW,FALSE,FALSE,FALSE,Sb2Te3,0,FALSE,
SiC ZrO2 Wang.pdf,10.1016/j.jeurceramsoc.2016.02.014,2016,,Journal of the European Ceramic Society 36 (2016) 2051–2055 Contents lists available at www.sciencedirect.com,REVIEW,REVIEW,TRUE,TRUE,FALSE,SiC ZrO2,0,FALSE,
SiO2 coated Barium titanate Wang.pdf,10.1016/j.scriptamat.2019.05.019,2019,,ScriptaMaterialia170(2019)1–5 ContentslistsavailableatScienceDirect journal homepage: www.elsevier.com/locate/scriptamat,DIFFERENT_TECHNIQUE,SPS,FALSE,FALSE,FALSE,SiO2 coated,0,FALSE,
SiO2 glass Sglavo.pdf,10.1016/j.jnoncrysol.2017.09.024,2017,,Journal of Non-Crystalline Solids 476 (2017) 60–66 ContentslistsavailableatScienceDirect Journal of Non-Crystalline Solids,REVIEW,REVIEW,TRUE,TRUE,FALSE,SiO2 glass,2,FALSE,"Found temps: [600, 690]"
Sm2O3 doped CeO2 Jiang.pdf,10.1016/j.scriptamat.2018.09.014,2018,,ScriptaMaterialia159(2019)72–75 ContentslistsavailableatScienceDirect journal homepage: www.elsevier.com/locate/scriptamat,FULL_DATA,DC_FLASH,TRUE,TRUE,FALSE,Sm2O3 doped,2,TRUE,"Found temps: [578, 850]"
SrFe12O19 Perejon.pdf,10.1016/j.jallcom.2022.166203,2022,,JournalofAlloysandCompounds922(2022)166203 ContentslistsavailableatScienceDirect Journal of Alloys and Compounds,REVIEW,REVIEW,TRUE,FALSE,FALSE,SrFe12O19,0,FALSE,
SrTiO2 and KNbO3 Raj.pdf,10.1016/j.scriptamat.2016.03.001,2016,,ScriptaMaterialia118(2016)1–4 ContentslistsavailableatScienceDirect journal homepage: www.elsevier.com/locate/scriptamat,REVIEW,REVIEW,TRUE,FALSE,FALSE,SrTiO2 and,0,FALSE,
Strontium Hexaferrite Touch Free Perez-Maqueda Raj.pdf,10.1111/jace.19389,,,Touch-free reactive flash sintering of dense strontium hexaferrite permanent magnet SyedI.A.Jalali1 AlejandroF.Manchón-Gordón2 RicardoChacartegui3,REVIEW,REVIEW,TRUE,FALSE,FALSE,Strontium Hexaferrite,1,FALSE,Found temps: [900]
Technique Yamamoto.pdf,10.2320/matertrans.MT-Y2023003,2023,,"MaterialsTransactions,Vol.64,No.9(2023)pp.2059to2068 ©2023JapanSocietyofPowderandPowderMetallurgy EVIEW",REVIEW,REVIEW,TRUE,FALSE,FALSE,Technique,1,FALSE,Found temps: [778]
TiO2 Interface Resistance Jo.pdf,10.1111/jace.70034,,,The dominant role of electrode-interfaces in flash induced electronic conductivity of rutile single crystals,REVIEW,REVIEW,TRUE,TRUE,FALSE,TiO2 Interface,1,FALSE,Found temps: [675]
TiO2 Shikhar_Titania_2014.pdf,10.1111/jace.12682,,,"J.Am.Ceram.Soc.,1–8(2013) ournal ©2013TheAmericanCeramicSociety The Effect of Electric Field on Sintering and Electrical Conductivity of Titania",REVIEW,REVIEW,TRUE,TRUE,FALSE,TiO2 Shikhar_Titania_2014,2,FALSE,"Found temps: [1700, 1710]"
TiO2 Yadav.pdf,10.1111/jace.18798,,,Room temperature flash of single crystal titania: Electronic and optical properties DevinderYadav1 YakunYuan2 VenkatramanGopalan2 RishiRaj3,REVIEW,REVIEW,TRUE,FALSE,FALSE,TiO2 Yadav,0,FALSE,
UO2 McClellan.pdf,10.1016/j.jnucmat.2017.06.022,2017,,JournalofNuclearMaterials493(2017)264e270 ContentslistsavailableatScienceDirect Journal of Nuclear Materials,REVIEW,REVIEW,TRUE,TRUE,FALSE,UO2,0,FALSE,
Urania McClellan.pdf,10.1016/j.jnucmat.2018.03.049,2018,,JournalofNuclearMaterials505(2018)85e93 ContentslistsavailableatScienceDirect Journal of Nuclear Materials,THEORY,SIMULATION,TRUE,FALSE,FALSE,Urania,0,FALSE,
W Raj.pdf,10.1111/jace.19532,,,Flash sintering of tungsten at room temperature (without a furnace) in <1 min by injection of electrical currents at,REVIEW,REVIEW,FALSE,FALSE,FALSE,W,0,FALSE,
WC 3 Sglavo.pdf,10.1007/s10853-022-08109-4,,,"J Mater Sci (2023) 58:1829–1848 Room temperature stability, structure and mechanical properties of cubic tungsten carbide in flash sintered",THEORY,SIMULATION,FALSE,FALSE,FALSE,WC,0,FALSE,
WC Grasso.pdf,10.3390/ma14247655,,,"Ultrahigh Temperature Flash Sintering of Binder-Less Tungsten HuaijiuDeng1,MattiaBiesuz2,3 ,MonikaVilémová2 ,MiladKermani1,JakubVeverka2,VáclavTyrpekl",REVIEW,REVIEW,TRUE,FALSE,FALSE,WC,0,FALSE,
WC Sglavo.pdf,10.1016/j.matdes.2021.110330,2021,,Materials&Design213(2022)110330 ContentslistsavailableatScienceDirect journal homepage: www.elsevier.com/locate/matdes,REVIEW,REVIEW,FALSE,TRUE,FALSE,WC,0,FALSE,
WC ZrB2 Mazo.pdf,10.1016/j.ceramint.2024.05.018,2024,,CeramicsInternational50(2024)37356–37365 Contents lists available at ScienceDirect Ceramics International,REVIEW,REVIEW,TRUE,TRUE,FALSE,WC ZrB2,0,FALSE,
WC paper 3 Sglavo.pdf,10.1016/j.jmrt.2023.02.213,2023,,journal of materials research and technology 2023;23:5993e6004 Availableonlineatwww.sciencedirect.com,REVIEW,REVIEW,TRUE,TRUE,FALSE,WC paper,0,FALSE,
WC second paper Sglavo .pdf,10.1016/j.actamat.2023.119227,2023,,ActaMaterialia258(2023)119227 Contents lists available at ScienceDirect journal homepage: www.elsevier.com/locate/actamat,THEORY,SIMULATION,FALSE,TRUE,FALSE,WC second,0,FALSE,
ZnO Wang.pdf,10.1016/j.scriptamat.2018.11.009,2018,,ScriptaMaterialia162(2019)251–255 ContentslistsavailableatScienceDirect journal homepage: www.elsevier.com/locate/scriptamat,THEORY,SIMULATION,TRUE,FALSE,FALSE,ZnO,2,FALSE,"Found temps: [700, 1100]"
ZnO Zno-Bi2O3 Luo.pdf,10.1016/j.actamat.2015.04.018,2015,,Available onlineat www.sciencedirect.com ActaMaterialia94(2015)87–100 www.elsevier.com/locate/actamat,THEORY,SIMULATION,TRUE,TRUE,FALSE,ZnO Zno-Bi2O3,0,FALSE,
ZrN Cheng.pdf,10.1111/jace.19719,,,Effects of processing conditions on flash sintering of AmiraliEskandariyun SuprabhaDas DiegoDubois KiyanaSaeedian,CONDUCTIVITY_ONLY,DC_FLASH,TRUE,TRUE,FALSE,ZrN,0,FALSE,
ZrO2-CeO2 Valdez.pdf,10.1111/jace.18426,,,The influence of the processing parameters on the reactive flash sintering of ZrO -CeO RubensRobertoIngraciNeto ErofiliKardoulaki JamesAnthonyValdez,REVIEW,REVIEW,TRUE,FALSE,FALSE,ZrO2-CeO2,0,FALSE,
alpha SiC Todd.pdf,10.1016/j.actamat.2022.118362,2022,,Acta Materialia 241 (2022) 118362 Contents lists available at ScienceDirect journal homepage: www.elsevier.com/locate/actamat,REVIEW,REVIEW,TRUE,TRUE,FALSE,alpha SiC,2,FALSE,"Found temps: [700, 1500]"
c-ZrO2 Raj.pdf,10.1007/s10832-016-,,,Manuscript_0fde8f45239cc14160157894fd686ead The Onset of the Flash Transition in Single Crystals of Cubic Zirconia,CONDUCTIVITY_ONLY,DC_FLASH,TRUE,TRUE,FALSE,c-ZrO2,0,FALSE,
c-ZrO2 Yoshida.pdf,10.1016/j.actamat.2022.117704,2022,,Acta Materialia 227 (2022) 117704 Contents lists available at ScienceDirect journal homepage: www.elsevier.com/locate/actamat,THEORY,SIMULATION,TRUE,FALSE,FALSE,c-ZrO2,0,FALSE,"Found temps: [600, 1250]"
