filename,doi,material,paper_category,completeness_score,T_onset_C,T_confidence,E_field_Vcm,E_confidence,has_arrhenius_plot,is_applicable,needs_digitization,technique_used,extraction_notes
Ni supplementary.pdf,10.1016/j.actamat.2020.02.036,Ni supplementary,INSUFFICIENT,0,,,,,False,False,False,DC_FLASH,
Perovskite Wang.pdf,10.1016/j.actamat.2018.12.007,Perovskite,REVIEW,55,,,"40, 60, 140, 270",H,True,False,False,REVIEW,
Phase syncrhonicity Raj .pdf,10.1111/JACE.16335,Phase syncrhonicity,REVIEW,0,,,,,False,False,False,REVIEW,
Porcelain Sglavo.pdf,10.1111/jace.15162,Porcelain,REVIEW,50,"500, 1000, 1190",H,"50, 500, 1750",M,False,False,False,REVIEW,"Found temps: [500, 1000, 1190]"
Power Density at the Onset of Flash Sintering Raj.pdf,10.1111/jace.14178,Power Density,REVIEW,80,"300, 725, 950, 1300",H,"10, 40, 50, 60, 120",H,True,False,False,REVIEW,"Found temps: [300, 725, 950, 1300]"
RFS Jalali_Bilayer.pdf,10.1111/jace.18804,RFS Jalali_Bilayer,REVIEW,55,,,"50, 100, 700, 1000",H,True,False,False,REVIEW,
Rhenium Raj 2.pdf,10.1007/s11661-024-07461-1,Rhenium,REVIEW,30,,,,,True,False,False,REVIEW,
Rhenium Raj.pdf,,Rhenium,REVIEW,0,,,,,False,False,False,REVIEW,
STRO Tsur.pdf,10.1016/j.jeurceramsoc.2016.07.037,STRO,THEORY,55,,,"100, 200, 600",H,True,False,False,SIMULATION,
Sb2Te3 Nishino.pdf,10.1063/1.5041970,Sb2Te3,REVIEW,0,,,,,False,False,False,REVIEW,
SiC ZrO2 Wang.pdf,10.1016/j.jeurceramsoc.2016.02.014,SiC ZrO2,REVIEW,55,,,"100, 140",H,True,False,False,REVIEW,
SiO2 coated Barium titanate Wang.pdf,10.1016/j.scriptamat.2019.05.019,SiO2 coated,DIFFERENT_TECHNIQUE,0,,,,,False,False,False,SPS,
SiO2 glass Sglavo.pdf,10.1016/j.jnoncrysol.2017.09.024,SiO2 glass,REVIEW,80,"600, 690",H,"1000, 2000, 3000",H,True,False,False,REVIEW,"Found temps: [600, 690]"
Sm2O3 doped CeO2 Jiang.pdf,10.1016/j.scriptamat.2018.09.014,Sm2O3 doped,FULL_DATA,80,"578, 850",H,"30, 60, 120, 1000, 2250",H,True,True,True,DC_FLASH,"Found temps: [578, 850]"
SrFe12O19 Perejon.pdf,10.1016/j.jallcom.2022.166203,SrFe12O19,REVIEW,25,,,40,H,False,False,False,REVIEW,
SrTiO2 and KNbO3 Raj.pdf,10.1016/j.scriptamat.2016.03.001,SrTiO2 and,REVIEW,25,,,600,H,False,False,False,REVIEW,
Strontium Hexaferrite Touch Free Perez-Maqueda Raj.pdf,10.1111/jace.19389,Strontium Hexaferrite,REVIEW,50,900,M,100,H,False,False,False,REVIEW,Found temps: [900]
Technique Yamamoto.pdf,10.2320/matertrans.MT-Y2023003,Technique,REVIEW,50,778,H,"40, 50, 100",M,False,False,False,REVIEW,Found temps: [778]
TiO2 Interface Resistance Jo.pdf,10.1111/jace.70034,TiO2 Interface,REVIEW,80,675,H,"450, 500",H,True,False,False,REVIEW,Found temps: [675]
TiO2 Shikhar_Titania_2014.pdf,10.1111/jace.12682,TiO2 Shikhar_Titania_2014,REVIEW,80,"1700, 1710",H,"40, 50, 100, 120, 150",H,True,False,False,REVIEW,"Found temps: [1700, 1710]"
TiO2 Yadav.pdf,10.1111/jace.18798,TiO2 Yadav,REVIEW,25,,,"50, 100, 150, 200, 250",H,False,False,False,REVIEW,
UO2 McClellan.pdf,10.1016/j.jnucmat.2017.06.022,UO2,REVIEW,55,,,"57, 107, 125, 187",H,True,False,False,REVIEW,
Urania McClellan.pdf,10.1016/j.jnucmat.2018.03.049,Urania,THEORY,25,,,188,H,False,False,False,SIMULATION,
W Raj.pdf,10.1111/jace.19532,W,REVIEW,0,,,,,False,False,False,REVIEW,
WC 3 Sglavo.pdf,10.1007/s10853-022-08109-4,WC,THEORY,0,,,,,False,False,False,SIMULATION,
WC Grasso.pdf,10.3390/ma14247655,WC,REVIEW,25,,,120,H,False,False,False,REVIEW,
WC Sglavo.pdf,10.1016/j.matdes.2021.110330,WC,REVIEW,30,,,,,True,False,False,REVIEW,
WC ZrB2 Mazo.pdf,10.1016/j.ceramint.2024.05.018,WC ZrB2,REVIEW,55,,,120,M,True,False,False,REVIEW,
WC paper 3 Sglavo.pdf,10.1016/j.jmrt.2023.02.213,WC paper,REVIEW,55,,,330,M,True,False,False,REVIEW,
WC second paper Sglavo .pdf,10.1016/j.actamat.2023.119227,WC second,THEORY,30,,,,,True,False,False,SIMULATION,
ZnO Wang.pdf,10.1016/j.scriptamat.2018.11.009,ZnO,THEORY,50,"700, 1100",H,"60, 120",H,False,False,False,SIMULATION,"Found temps: [700, 1100]"
ZnO Zno-Bi2O3 Luo.pdf,10.1016/j.actamat.2015.04.018,ZnO Zno-Bi2O3,THEORY,55,,,"44, 52, 80, 100, 160",H,True,False,False,SIMULATION,
ZrN Cheng.pdf,10.1111/jace.19719,ZrN,CONDUCTIVITY_ONLY,55,,,"20, 30, 32, 1000",H,True,False,True,DC_FLASH,
ZrO2-CeO2 Valdez.pdf,10.1111/jace.18426,ZrO2-CeO2,REVIEW,25,,,"250, 1000, 1325",H,False,False,False,REVIEW,
alpha SiC Todd.pdf,10.1016/j.actamat.2022.118362,alpha SiC,REVIEW,80,"700, 1500",H,"15, 20, 25, 30, 35",H,True,False,False,REVIEW,"Found temps: [700, 1500]"
c-ZrO2 Raj.pdf,10.1007/s10832-016-,c-ZrO2,CONDUCTIVITY_ONLY,55,,,"20, 50, 210, 230, 490",H,True,False,True,DC_FLASH,
c-ZrO2 Yoshida.pdf,10.1016/j.actamat.2022.117704,c-ZrO2,THEORY,25,"600, 1250",H,,,False,False,False,SIMULATION,"Found temps: [600, 1250]"
